round,accuracy,precision,recall,f1
1,0.10136413422284178,0.03300003809521599,0.10018044791465006,0.027306344618111825
2,0.19267151249626605,0.07094626327963999,0.1817192310703319,0.08467343988104424
3,0.15682564970626306,0.08783338024801272,0.1442609203731235,0.07519252577194589
4,0.1867967738723489,0.0872502727360496,0.1805221641547405,0.0864220510549604
5,0.14557403166384547,0.09650448730398917,0.1290663901726437,0.0627875992384659
6,0.20820471970526735,0.20079273091224634,0.1876223000617232,0.1256724623571173
7,0.21567260778651798,0.18053978761456346,0.19345222808618096,0.12615797546130372
8,0.22543064821268546,0.20305550631353647,0.19836433374276558,0.1368389277252255
9,0.22752165687543563,0.17351515934984504,0.19652082931862724,0.1256069930588266
10,0.22562979189485213,0.19855223194600716,0.1984476347186065,0.1331454205129481
11,0.18789206412426565,0.20123500659758872,0.1736175323784674,0.11411561359061415
12,0.23817584387135318,0.2732630698876123,0.20722703088918687,0.15007519768851701
13,0.2552026286966046,0.28953700993946757,0.2193257644220975,0.17296977033170774
14,0.2466394503634372,0.1902908758988108,0.21457339043719906,0.1448767672700587
15,0.29214378173852434,0.2992219169361434,0.26216885646086013,0.19513831397871562
16,0.23817584387135318,0.2884412835721016,0.2040675456653317,0.1496604572111249
17,0.23488997311560292,0.2356305567440824,0.21377714163393705,0.14596366402641192
18,0.27352384745593944,0.25774479897992714,0.2553017382933908,0.17336606040583882
19,0.2947326496066912,0.25472748710373244,0.2694383034830332,0.18926616661473894
20,0.2511201832121876,0.3077407960228512,0.23011005397040024,0.16688485480868856
21,0.2659563875336055,0.32061348926828465,0.2390065038370908,0.18581417008577725
22,0.34621129144677887,0.3297869213731659,0.3009892458365002,0.2393504534380359
23,0.29981081350194166,0.3011710963928719,0.2725334332591504,0.2078366355910024
24,0.276013143483023,0.33319699218507093,0.25090004163832536,0.19906313967731187
25,0.267549536990939,0.2692492830951617,0.25565980608098127,0.1734689410442964
26,0.27671014637060637,0.3528233412122334,0.25206883417363457,0.20748907239711692
27,0.33824554416011154,0.35293072747031695,0.312980685245368,0.22891021662491262
28,0.32111918749377677,0.31196627702368007,0.2912233423876794,0.23028704909961287
29,0.31245643731952605,0.3436164344106995,0.29174019059779627,0.22601492445252516
