round,sampled_clients,malicious_sampled
1,20,2
2,20,10
3,20,7
4,20,6
5,20,3
6,20,5
7,20,8
8,20,6
9,20,6
10,20,7
11,20,4
12,20,5
13,20,8
14,20,3
15,20,8
16,20,5
17,20,6
18,20,6
19,20,6
20,20,5
21,20,3
22,20,6
23,20,7
24,20,5
25,20,8
26,20,10
27,20,8
28,20,9
29,20,6
30,20,7
31,20,4
32,20,8
33,20,7
34,20,6
35,20,8
36,20,4
37,20,6
38,20,6
39,20,4
40,20,10
41,20,4
42,20,4
43,20,6
44,20,5
45,20,9
46,20,7
47,20,7
48,20,3
49,20,8
50,20,5
51,20,3
52,20,6
53,20,9
54,20,9
55,20,6
56,20,4
57,20,4
58,20,6
59,20,5
60,20,6
61,20,4
62,20,3
63,20,4
64,20,6
65,20,3
66,20,6
67,20,8
68,20,5
69,20,7
70,20,4
71,20,6
72,20,3
73,20,4
74,20,5
75,20,7
76,20,2
77,20,6
78,20,5
79,20,6
80,20,8
81,20,8
82,20,7
83,20,2
84,20,8
85,20,7
86,20,7
87,20,5
88,20,6
89,20,9
90,20,4
91,20,8
92,20,7
93,20,6
94,20,6
95,20,7
96,20,5
97,20,7
98,20,4
99,20,7
100,20,4
101,20,4
102,20,5
103,20,8
104,20,10
105,20,5
106,20,8
107,20,5
108,20,5
109,20,5
110,20,8
111,20,6
112,20,3
113,20,11
114,20,4
115,20,6
116,20,6
117,20,4
118,20,4
119,20,7
120,20,6
121,20,6
122,20,9
123,20,2
124,20,4
125,20,4
126,20,5
127,20,5
128,20,6
129,20,5
130,20,7
131,20,7
132,20,4
133,20,7
134,20,7
135,20,7
136,20,5
137,20,7
138,20,4
139,20,6
140,20,4
141,20,8
142,20,4
143,20,10
144,20,6
145,20,7
146,20,7
147,20,7
148,20,7
149,20,6
150,20,6
